frame_nmr,vehicle_id,vehicle_bbox,license_plate_bbox,license_plate_bbox_score
12,1,354.3813786602724 722.5523291969212 699.7358228889549 1042.055724798654,449.4101257324219 916.30517578125 589.0862426757812 988.264892578125,0.5660544037818909
41,5,1113.6197242029325 684.247297244935 1438.263305993241 1012.2406975625568,1231.906005859375 895.4674682617188 1332.3896484375 953.4443359375,0.504050612449646
42,5,1113.7365568685518 686.3414887819202 1439.6990419245453 1016.7877500395954,1232.5969848632812 899.3791198730469 1333.6426391601562 957.0992126464844,0
43,5,1113.8533895341711 688.4356803189055 1441.13477785585 1021.334802516634,1233.2879638671875 903.290771484375 1334.8956298828125 960.7540893554688,0
44,5,1113.9702221997904 690.5298718558907 1442.5705137871544 1025.8818549936727,1233.9789428710938 907.2024230957031 1336.1486206054688 964.4089660644531,0
45,5,1114.0870548654098 692.624063392876 1444.0062497184588 1030.4289074707112,1234.669921875 911.1140747070312 1337.401611328125 968.0638427734375,0
46,5,1114.203887531029 694.7182549298612 1445.4419856497634 1034.9759599477497,1235.3609008789062 915.0257263183594 1338.6546020507812 971.7187194824219,0
47,5,1114.3207201966484 696.8124464668465 1446.8777215810678 1039.5230124247885,1236.0518798828125 918.9373779296875 1339.9075927734375 975.3735961914062,0.5068545937538147
153,7,1023.4117147683831 642.8680227285547 1328.1121517193185 901.0838726295783,1133.32470703125 788.8494873046875 1239.091552734375 864.0919189453125,0.6395602822303772
154,7,1023.7350702829712 645.0563013628253 1329.150720113348 904.1031532462728,1133.8262044270834 791.9223999023437 1240.2554524739583 866.9174926757812,0
155,7,1024.058425797559 647.2445799970959 1330.1892885073776 907.1224338629673,1134.3277018229167 794.9953125 1241.4193522135417 869.74306640625,0
156,7,1024.381781312147 649.4328586313665 1331.227856901407 910.1417144796618,1134.82919921875 798.0682250976563 1242.583251953125 872.5686401367187,0
157,7,1024.705136826735 651.6211372656371 1332.2664252954366 913.1609950963563,1135.3306966145833 801.1411376953125 1243.7471516927083 875.3942138671875,0
158,7,1025.0284923413228 653.8094158999077 1333.304993689466 916.1802757130508,1135.8321940104167 804.2140502929688 1244.9110514322917 878.2197875976562,0
159,7,1025.3518478559108 655.9976945341783 1334.3435620834957 919.1995563297453,1136.33369140625 807.286962890625 1246.074951171875 881.045361328125,0
160,7,1025.6752033704988 658.1859731684489 1335.3821304775252 922.2188369464398,1136.8351888020834 810.3598754882812 1247.2388509114583 883.8709350585938,0
161,7,1025.9985588850868 660.3742518027195 1336.4206988715548 925.2381175631343,1137.3366861979166 813.4327880859375 1248.4027506510417 886.6965087890625,0
162,7,1026.3219143996746 662.5625304369901 1337.4592672655842 928.2573981798288,1137.83818359375 816.5057006835938 1249.566650390625 889.5220825195313,0
163,7,1026.6452699142626 664.7508090712607 1338.4978356596139 931.2766787965232,1138.3396809895833 819.57861328125 1250.7305501302083 892.34765625,0
164,7,1026.9686254288506 666.9390877055313 1339.5364040536433 934.2959594132178,1138.8411783854167 822.6515258789062 1251.8944498697917 895.1732299804687,0
165,7,1027.2919809434386 669.1273663398019 1340.574972447673 937.3152400299123,1139.34267578125 825.7244384765625 1253.058349609375 897.9988037109375,0
166,7,1027.6153364580264 671.3156449740725 1341.6135408417024 940.3345206466067,1139.8441731770833 828.7973510742188 1254.2222493489583 900.8243774414062,0
167,7,1027.9386919726144 673.503923608343 1342.652109235732 943.3538012633013,1140.3456705729166 831.870263671875 1255.3861490885417 903.649951171875,0
168,7,1028.2620474872024 675.6922022426137 1343.6906776297615 946.3730818799958,1140.84716796875 834.9431762695312 1256.550048828125 906.4755249023438,0.5725235342979431
169,7,1028.7327680904036 678.429503338665 1345.031669747923 949.903908019319,1142.0107421875 838.7267345081676 1257.164872602983 909.5412264737216,0
170,7,1029.2034886936049 681.1668044347161 1346.3726618660844 953.4347341586424,1143.17431640625 842.510292746804 1257.779696377841 912.6069280450994,0
171,7,1029.6742092968063 683.9041055307674 1347.7136539842459 956.9655602979657,1144.337890625 846.2938509854404 1258.3945201526988 915.6726296164773,0
172,7,1030.1449299000076 686.6414066268186 1349.0546461024073 960.4963864372891,1145.50146484375 850.0774092240767 1259.0093439275568 918.7383311878551,0
173,7,1030.6156505032088 689.3787077228699 1350.3956382205688 964.0272125766123,1146.6650390625 853.8609674627131 1259.6241677024148 921.804032759233,0
174,7,1031.08637110641 692.116008818921 1351.7366303387303 967.5580387159357,1147.82861328125 857.6445257013494 1260.2389914772727 924.8697343306108,0
175,7,1031.5570917096113 694.8533099149723 1353.0776224568917 971.088864855259,1148.9921875 861.4280839399858 1260.8538152521307 927.9354359019886,0
176,7,1032.0278123128126 697.5906110110235 1354.4186145750532 974.6196909945824,1150.15576171875 865.2116421786221 1261.4686390269887 931.0011374733665,0
177,7,1032.498532916014 700.3279121070748 1355.7596066932147 978.1505171339056,1151.3193359375 868.9952004172585 1262.0834628018465 934.0668390447444,0
178,7,1032.9692535192153 703.065213203126 1357.1005988113761 981.681343273229,1152.48291015625 872.7787586558949 1262.6982865767045 937.1325406161221,0
