frame_nmr,vehicle_id,vehicle_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
35,26.0,[426.96157333959843 909.5203643432515 668.8115250005093 1079.4680773189914],[438.01190185546875 969.744140625 544.7759399414062 1061.5751953125],0.5476698875427246,25,0.9957729578018188
39,34.0,[453.5189239011247 837.3932951929135 718.9612317757715 1076.0898525217349],[463.6000061035156 950.357666015625 573.8735961914062 1029.1929931640625],0.7232394814491272,MZ,0.9834829568862915
40,34.0,[466.07052144112106 841.9854548973294 721.3089888288881 1075.915911050601],[475.13232421875 948.673828125 578.5567016601562 1032.7862548828125],0.783726155757904,0825,0.9933744668960571
41,26.0,[473.9917037065816 893.9127579329644 674.7776748269387 1072.9270019997236],[482.94903564453125 947.1365356445312 581.9688720703125 1022.386474609375],0.7665417194366455,2695,0.9942001700401306
42,26.0,[481.6806966762973 892.9159889584735 674.4210382039761 1073.0217363311335],[482.9501037597656 947.4021606445312 586.1673583984375 1019.3536376953125],0.7504261136054993,D 2695 MZ,0.9889153838157654
45,26.0,[502.8015357899017 880.3601361059384 697.1525951843369 1071.5901616004267],[508.122802734375 945.9288940429688 604.5122680664062 1007.6702270507812],0.628501832485199,D 2695 MZ,0.9930267333984375
46,26.0,[509.4559651335521 877.6726269091606 703.0762315726906 1072.0295853898522],[514.44970703125 940.6232299804688 604.4962158203125 1007.5427856445312],0.6586529612541199,D 2695 MZ,0.9760619401931763
48,26.0,[515.293505575783 874.8157293103943 703.4702850581614 1072.6170579236461],[521.5105590820312 938.6077880859375 612.7069702148438 1001.4305419921875],0.5969322919845581,D 2695 MZ,0.9780747294425964
49,26.0,[518.4298166226721 874.0258646252591 705.1688379558508 1073.4194698582908],[523.12646484375 935.1132202148438 622.0587768554688 1003.2998657226562],0.6770548224449158,D 2695 MZ,0.9804224967956543
51,26.0,[523.4659980411802 872.800595654023 702.2134891815388 1074.5831186834328],[530.3654174804688 928.5324096679688 626.7411499023438 1001.2886352539062],0.6592552065849304,D 2695 MZ,0.9876824021339417
52,26.0,[528.789773288186 871.7839188545693 707.9213289758469 1074.2775455509982],[531.9518432617188 929.2593383789062 627.1639404296875 1000.2566528320312],0.6125811338424683,D 2695 MZ,0.9924393892288208
53,26.0,[533.3167687105671 869.3033612545777 713.1256675078256 1073.8354098401617],[542.6884765625 925.6067504882812 629.5916748046875 991.3350219726562],0.7494864463806152,D 2695 MZ,0.9961469173431396
54,26.0,[536.1064481856063 866.2688008925911 716.8236767708718 1073.856682292845],[542.6483154296875 926.9451293945312 629.4512939453125 995.891845703125],0.7060908675193787,D 2695 MZ,0.9961448907852173
55,26.0,[537.9485353440574 862.9574300416349 718.9176070356947 1073.4452757326324],[548.46435546875 926.1414184570312 637.7474975585938 994.0440673828125],0.750019371509552,D 2695 MZ,0.9976189732551575
56,51.0,[1284.8815512328918 915.6486630671229 1563.3875079869906 1076.415357906745],[1438.4876708984375 1008.1946411132812 1555.391357421875 1074.0267333984375],0.7662565112113953,04,0.9720698595046997
56,26.0,[537.7687657385175 861.8608567310401 716.6204873179713 1073.804848555336],[551.115234375 926.0703735351562 642.7849731445312 994.1603393554688],0.7127617597579956,D 2695 MZ,0.9975831508636475
57,26.0,[539.3089148853128 860.4677686984774 717.526287148339 1073.9739590112185],[550.1422119140625 924.1591186523438 638.9033203125 986.6852416992188],0.6594832539558411,D 2695 MZ,0.9975814819335938
58,26.0,[541.0897614170244 848.2778958518442 717.245526131778 1068.972253124282],[545.7650756835938 924.5159912109375 645.1818237304688 989.9432373046875],0.7133735418319702,D 2695 MZ,0.9858617782592773
59,26.0,[540.9297938644036 843.108172331291 715.6273598579401 1068.6077695165334],[548.1087646484375 924.0836791992188 649.2452392578125 986.785400390625],0.7571811676025391,D 2695 MZ,0.9867507815361023
60,51.0,[1290.1822272837185 911.6569655155802 1530.1385245484926 1075.3030844774198],[1417.9798583984375 992.735107421875 1523.5614013671875 1066.906494140625],0.7336835265159607,21627,0.9985722303390503
60,26.0,[543.0472342036328 842.8014730550071 714.0530244088673 1070.4126810548348],[546.1011352539062 923.4495849609375 646.36474609375 982.7171630859375],0.7275022864341736,D 2695 MZ,0.9893355965614319
61,26.0,[543.801419123894 835.1671537432261 714.1016804170833 1068.6187771187583],[557.160888671875 925.1610717773438 647.05322265625 989.5457153320312],0.7031434178352356,D 2695 MZ,0.9944177269935608
62,26.0,[545.966636033322 835.3342562126346 713.387625260491 1070.7776607396706],[551.3538818359375 923.9373779296875 644.5858764648438 985.519775390625],0.7027799487113953,D 2695 MZ,0.9811865091323853
63,52.0,[1228.0712796585387 879.3219065092867 1509.497698299622 1082.8898935534087],[1397.9873046875 972.6775512695312 1507.400146484375 1057.223876953125],0.8419596552848816,D 2162 ZUA,0.9212130308151245
63,26.0,[548.4267270386689 850.701086278315 712.8704329534518 1078.7508529366094],[553.5359497070312 925.2661743164062 654.4019165039062 987.0926513671875],0.5587916374206543,D 2695 MZ,0.9856904745101929
64,52.0,[1230.5194422092832 881.244964586977 1505.8317638662265 1081.5597811864147],[1402.2109375 976.8209838867188 1501.9591064453125 1050.5640869140625],0.8691369295120239,D 2162 ZUA,0.9671655297279358
65,52.0,[1258.7057494444634 886.6060483711447 1510.6263252475615 1080.8834531178893],[1389.86962890625 971.8185424804688 1499.9193115234375 1051.151123046875],0.8231608867645264,D 2162 ZUA,0.9215540885925293
66,52.0,[1271.853398916435 890.1924673329189 1506.4339702932796 1079.7328089396274],[1386.31103515625 968.8372192382812 1497.54931640625 1037.2362060546875],0.7775290012359619,D 2162 ZUA,0.993221640586853
66,26.0,[550.8250927101474 854.7399009938473 710.1919546311217 1078.9922783197146],[556.6153564453125 922.6026000976562 652.6443481445312 982.2030639648438],0.6043003797531128,D 2695 MZ,0.9745156168937683
67,52.0,[1274.0241139143982 891.1169028281695 1498.5932058972762 1078.218704559831],[1385.52099609375 964.4805908203125 1492.7052001953125 1034.0284423828125],0.7915703058242798,D 2162 ZUA,0.9388244152069092
68,52.0,[1275.9793783907387 885.1569844036607 1492.3175655558778 1074.2370210148476],[1377.7872314453125 949.4644775390625 1480.1802978515625 1026.1622314453125],0.8123681545257568,D 2162 ZUA,0.9568750262260437
69,52.0,[1281.3551994575444 885.3284424269929 1488.3919239904474 1074.2184401430568],[1375.2001953125 951.6813354492188 1477.2525634765625 1021.8517456054688],0.8188122510910034,D 2162 ZUA,0.9582737684249878
70,52.0,[1282.0489142626063 884.8510998702303 1482.806457181004 1073.933481362403],[1374.697021484375 950.0475463867188 1478.1571044921875 1039.7774658203125],0.774843692779541,D 2162 ZUA,0.9469090700149536
71,52.0,[1282.9208939516684 884.3747670362319 1479.623143805608 1073.8737846168876],[1374.7254638671875 950.0505981445312 1477.99609375 1038.02685546875],0.7785806059837341,D 2162 ZUA,0.8927402496337891
72,52.0,[1282.2940618207658 882.2897723564079 1474.7143608877209 1072.3052281887612],[1372.1392822265625 946.392333984375 1469.6004638671875 1011.25341796875],0.7773160338401794,D 2162 ZUA,0.9263795614242554
73,52.0,[1282.2117829265683 877.3663116472143 1471.6912164072057 1070.356928526982],[1363.77099609375 943.91162109375 1464.9814453125 1002.4248046875],0.7167036533355713,D 2162 ZUA,0.8899537324905396
