frame_nmr,vehicle_id,vehicle_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
75,3,838.9868740948037 679.4304826542137 1141.7696174685816 925.5910716129341,862.6591186523438 777.5064697265625 1065.922607421875 839.3941040039062,0.548583447933197,FP,0.9904020428657532
76,3,837.2348574705885 679.4766559558784 1142.9515008118015 928.2265819775353,865.1904125976563 779.2192456054687 1065.74279296875 841.1086889648437,0,D 1805 FP,0.999071717262268
77,3,835.4828408463733 679.5228292575431 1144.1333841550213 930.8620923421364,867.7217065429687 780.932021484375 1065.562978515625 842.8232739257812,0,D 1805 FP,0.999071717262268
78,3,833.730824222158 679.5690025592078 1145.315267498241 933.4976027067376,870.2530004882813 782.6447973632812 1065.3831640625 844.5378588867187,0,D 1805 FP,0.999071717262268
79,3,831.9788075979428 679.6151758608726 1146.4971508414608 936.1331130713386,872.7842944335938 784.3575732421875 1065.203349609375 846.2524438476562,0,D 1805 FP,0.999071717262268
80,3,830.2267909737275 679.6613491625372 1147.6790341846806 938.7686234359397,875.3155883789062 786.0703491210937 1065.02353515625 847.9670288085938,0,D 1805 FP,0.999071717262268
81,3,828.4747743495122 679.7075224642019 1148.8609175279005 941.4041338005409,877.8468823242188 787.783125 1064.843720703125 849.6816137695313,0,D 1805 FP,0.999071717262268
82,3,826.722757725297 679.7536957658666 1150.0428008711203 944.039644165142,880.3781762695312 789.4959008789062 1064.66390625 851.3961987304688,0,D 1805 FP,0.999071717262268
83,3,824.9707411010818 679.7998690675313 1151.22468421434 946.6751545297432,882.9094702148437 791.2086767578126 1064.484091796875 853.1107836914063,0,D 1805 FP,0.999071717262268
84,3,823.2187244768666 679.846042369196 1152.4065675575598 949.3106648943443,885.4407641601563 792.9214526367188 1064.30427734375 854.8253686523437,0,D 1805 FP,0.999071717262268
85,3,821.4667078526513 679.8922156708608 1153.5884509007797 951.9461752589453,887.9720581054687 794.634228515625 1064.124462890625 856.5399536132812,0,D 1805 FP,0.999071717262268
86,3,819.7146912284361 679.9383889725254 1154.7703342439995 954.5816856235465,890.5033520507812 796.3470043945313 1063.9446484375 858.2545385742187,0,D 1805 FP,0.999071717262268
87,3,817.9626746042209 679.9845622741901 1155.9522175872194 957.2171959881476,893.0346459960938 798.0597802734375 1063.764833984375 859.9691235351562,0,D 1805 FP,0.999071717262268
88,3,816.2106579800055 680.0307355758548 1157.134100930439 959.8527063527488,895.5659399414062 799.7725561523438 1063.58501953125 861.6837084960938,0,D 1805 FP,0.999071717262268
89,3,814.4586413557903 680.0769088775195 1158.3159842736588 962.4882167173499,898.0972338867188 801.48533203125 1063.405205078125 863.3982934570313,0,D 1805 FP,0.999071717262268
